doc_id,text,response_type,sex,age_cohorts,political_id3,close_nkmigrants
nkmigrants_interviews_4522,이유없음,neighbor,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4523,결혼하여 가정을 구성하였기에 상대적으로 안정된 상태,vote,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4524,한국체류기간,hire,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_4525,오랜체류,neighbor,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_4526,잘모름,vote,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_4527,능력이 있을듯,hire,Male,18-29,Conservative,Very distant
nkmigrants_interviews_4528,젊으므로,neighbor,Male,18-29,Conservative,Very distant
nkmigrants_interviews_4529,연령 능력 때문,vote,Male,18-29,Conservative,Very distant
nkmigrants_interviews_4530,어느 정도 나이가 있으므로,hire,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4531,나이에 있어서 성실할 것같음,neighbor,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4532,어느 정도 나이가 있어서,vote,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_4533,직업과 안정적인 결혼생활에 있어서입니다,hire,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4534,탈북이주결혼,neighbor,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4535,최근 왔으니까 관심있게 접근할것 같음,vote,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4536,체류기간,hire,Female,60+,Centrist,Very distant
nkmigrants_interviews_4537,여성이 일 시키기 좋아서,neighbor,Female,60+,Centrist,Very distant
nkmigrants_interviews_4538,의사,vote,Female,60+,Centrist,Very distant
nkmigrants_interviews_4539,연령적으로 적절,hire,Male,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_4540,자녀가있으므로 성실할듯,neighbor,Male,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_4541,젊은 사람이니까,vote,Male,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_4542,나이도 어리고 발전가능성 유,hire,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4543,특별한 이유 없음,neighbor,Male,18-29,Progressive,Neither close nor distant
